date,ticker,signals_summary,bullish_squeeze_label,bullish_squeeze_score,bearish_squeeze_label,bearish_squeeze_score
2026-06-25,AMZN,VOLATILITY/STRONG @ $226.88 (0.00%) | SUPPORT/MODERATE @ $225.06 (-0.80%) | MAGNET/STRONG @ $225.00 (-0.83%),,,possible,40
2026-06-25,TSLA,VOLATILITY/STRONG @ $374.67 (0.00%) | SUPPORT/MODERATE @ $372.93 (-0.46%) | MAGNET/STRONG @ $370.00 (-1.25%),unlikely,25,possible,35
2026-06-26,AAPL,VOLATILITY/STRONG @ $281.92 (0.00%) | MAGNET/STRONG @ $280.00 (-0.68%) | VOLATILITY/STRONG @ $270.00 (-4.23%),unlikely,25,unlikely,25
2026-06-26,MSFT,VOLATILITY/STRONG @ $372.15 (0.00%) | VOLATILITY/STRONG @ $350.00 (-5.95%),unlikely,25,unlikely,20
2026-06-26,NVDA,VOLATILITY/STRONG @ $192.41 (0.00%) | SUPPORT/MODERATE @ $186.72 (-2.96%) | VOLATILITY/STRONG @ $185.00 (-3.85%),unlikely,25,unlikely,25
2026-06-26,GOOGL,VOLATILITY/STRONG @ $338.17 (0.00%) | SUPPORT/MODERATE @ $336.40 (-0.52%) | MAGNET/STRONG @ $335.00 (-0.94%),,,likely,65
2026-06-26,META,VOLATILITY/STRONG @ $550.48 (0.00%) | MAGNET/STRONG @ $550.00 (-0.09%) | VOLATILITY/STRONG @ $550.00 (-0.09%),,,possible,40
2026-06-26,AMZN,VOLATILITY/STRONG @ $231.96 (0.00%) | VOLATILITY/STRONG @ $220.00 (-5.15%),unlikely,25,unlikely,20
2026-06-26,TSLA,VOLATILITY/STRONG @ $377.40 (0.00%) | SUPPORT/MODERATE @ $363.57 (-3.66%) | VOLATILITY/STRONG @ $350.00 (-7.26%),unlikely,25,unlikely,20
2026-06-29,AAPL,VOLATILITY/STRONG @ $281.29 (0.00%) | VOLATILITY/STRONG @ $275.00 (-2.24%),unlikely,25,possible,30
2026-06-29,MSFT,VOLATILITY/STRONG @ $370.38 (0.00%) | VOLATILITY/STRONG @ $350.00 (-5.50%),unlikely,25,unlikely,20
2026-06-29,NVDA,VOLATILITY/STRONG @ $194.91 (0.00%) | MAGNET/STRONG @ $195.00 (+0.05%) | SUPPORT/MODERATE @ $188.54 (-3.27%),possible,45,not_shown,
2026-06-29,GOOGL,VOLATILITY/STRONG @ $353.20 (0.00%) | VOLATILITY/STRONG @ $320.00 (-9.40%),unlikely,25,unlikely,20
2026-06-29,META,VOLATILITY/STRONG @ $563.10 (0.00%) | VOLATILITY/STRONG @ $550.00 (-2.33%),unlikely,25,possible,30
2026-06-29,AMZN,VOLATILITY/STRONG @ $240.07 (0.00%) | MAGNET/STRONG @ $240.00 (-0.03%) | VOLATILITY/STRONG @ $220.00 (-8.36%),possible,30,unlikely,20
2026-06-29,TSLA,VOLATILITY/STRONG @ $411.00 (0.00%) | MAGNET/STRONG @ $410.00 (-0.24%) | VOLATILITY/STRONG @ $350.00 (-14.84%),possible,35,unlikely,20
2026-06-30,AAPL,VOLATILITY/STRONG @ $288.99 (0.00%) | VOLATILITY/STRONG @ $270.00 (-6.57%),possible,30,unlikely,20
2026-06-30,MSFT,VOLATILITY/STRONG @ $375.69 (0.00%) | SUPPORT/MODERATE @ $357.52 (-4.84%) | VOLATILITY/STRONG @ $350.00 (-6.84%),unlikely,25,unlikely,20
2026-06-30,NVDA,VOLATILITY/STRONG @ $199.41 (0.00%) | MAGNET/STRONG @ $200.00 (+0.30%) | SUPPORT/MODERATE @ $190.40 (-4.52%),possible,45,not_shown,
2026-06-30,GOOGL,VOLATILITY/STRONG @ $356.79 (0.00%) | MAGNET/STRONG @ $360.00 (+0.90%) | VOLATILITY/STRONG @ $320.00 (-10.31%),possible,45,not_shown,
2026-06-30,META,VOLATILITY/STRONG @ $562.67 (0.00%) | VOLATILITY/STRONG @ $550.00 (-2.25%) | SUPPORT/MODERATE @ $540.96 (-3.86%),unlikely,25,possible,30
2026-06-30,AMZN,VOLATILITY/STRONG @ $239.13 (0.00%) | VOLATILITY/STRONG @ $220.00 (-8.00%),possible,30,unlikely,20
2026-06-30,TSLA,VOLATILITY/STRONG @ $417.51 (0.00%) | MAGNET/STRONG @ $420.00 (+0.60%) | VOLATILITY/STRONG @ $350.00 (-16.17%),possible,45,not_shown,
2026-07-01,AAPL,VOLATILITY/STRONG @ $293.86 (0.00%) | MAGNET/STRONG @ $295.00 (+0.39%) | VOLATILITY/STRONG @ $240.00 (-18.33%),possible,45,not_shown,
2026-07-01,MSFT,VOLATILITY/STRONG @ $384.00 (0.00%) | MAGNET/STRONG @ $385.00 (+0.26%) | VOLATILITY/STRONG @ $350.00 (-8.85%),possible,45,not_shown,
2026-07-01,NVDA,VOLATILITY/STRONG @ $197.75 (0.00%) | MAGNET/STRONG @ $200.00 (+1.14%) | SUPPORT/MODERATE @ $189.66 (-4.09%),possible,40,not_shown,
2026-07-01,GOOGL,VOLATILITY/STRONG @ $360.17 (0.00%) | MAGNET/STRONG @ $360.00 (-0.05%) | VOLATILITY/STRONG @ $320.00 (-11.15%),possible,40,not_shown,
2026-07-01,META,VOLATILITY/STRONG @ $613.27 (0.00%) | VOLATILITY/STRONG @ $550.00 (-10.32%),unlikely,25,unlikely,20
2026-07-01,AMZN,VOLATILITY/STRONG @ $241.76 (0.00%) | MAGNET/STRONG @ $242.50 (+0.31%) | VOLATILITY/STRONG @ $220.00 (-9.00%),possible,45,not_shown,
2026-07-01,TSLA,VOLATILITY/STRONG @ $424.15 (0.00%) | MAGNET/STRONG @ $425.00 (+0.20%) | VOLATILITY/STRONG @ $350.00 (-17.48%),possible,45,not_shown,
2026-07-02,AAPL,VOLATILITY/STRONG @ $308.15 (0.00%) | MAGNET/STRONG @ $310.00 (+0.60%) | VOLATILITY/STRONG @ $240.00 (-22.12%),possible,45,not_shown,
2026-07-02,MSFT,VOLATILITY/STRONG @ $390.43 (0.00%) | MAGNET/STRONG @ $390.00 (-0.11%) | VOLATILITY/STRONG @ $350.00 (-10.35%),possible,35,unlikely,20
2026-07-02,NVDA,VOLATILITY/STRONG @ $194.56 (0.00%) | MAGNET/STRONG @ $195.00 (+0.23%) | SUPPORT/MODERATE @ $185.99 (-4.40%),possible,45,not_shown,
2026-07-02,GOOGL,VOLATILITY/STRONG @ $358.86 (0.00%) | MAGNET/STRONG @ $360.00 (+0.32%) | VOLATILITY/STRONG @ $320.00 (-10.83%),possible,45,not_shown,
2026-07-02,META,VOLATILITY/STRONG @ $583.38 (0.00%) | VOLATILITY/STRONG @ $550.00 (-5.72%),unlikely,25,unlikely,20
2026-07-02,AMZN,VOLATILITY/STRONG @ $242.65 (0.00%) | MAGNET/STRONG @ $245.00 (+0.97%) | VOLATILITY/STRONG @ $220.00 (-9.33%),possible,45,not_shown,
2026-07-02,TSLA,VOLATILITY/STRONG @ $393.31 (0.00%) | MAGNET/STRONG @ $395.00 (+0.43%) | VOLATILITY/STRONG @ $390.00 (-0.84%),possible,45,possible,40
2026-07-03,AAPL,VOLATILITY/STRONG @ $308.45 (0.00%) | MAGNET/STRONG @ $310.00 (+0.50%) | VOLATILITY/STRONG @ $240.00 (-22.19%),possible,45,not_shown,
2026-07-03,MSFT,VOLATILITY/STRONG @ $390.80 (0.00%) | VOLATILITY/STRONG @ $350.00 (-10.44%),possible,35,unlikely,20
2026-07-03,NVDA,VOLATILITY/STRONG @ $194.41 (0.00%) | SUPPORT/MODERATE @ $186.65 (-3.99%) | VOLATILITY/STRONG @ $180.00 (-7.41%),possible,35,unlikely,20
2026-07-03,GOOGL,VOLATILITY/STRONG @ $359.08 (0.00%) | VOLATILITY/STRONG @ $320.00 (-10.88%),unlikely,25,unlikely,20
2026-07-03,META,VOLATILITY/STRONG @ $584.75 (0.00%) | VOLATILITY/STRONG @ $550.00 (-5.94%),unlikely,25,unlikely,20
2026-07-03,AMZN,VOLATILITY/STRONG @ $242.97 (0.00%) | VOLATILITY/STRONG @ $220.00 (-9.46%),possible,35,unlikely,20
2026-07-03,TSLA,VOLATILITY/STRONG @ $394.33 (0.00%) | VOLATILITY/STRONG @ $350.00 (-11.24%),unlikely,25,unlikely,20
2026-07-06,AAPL,VOLATILITY/STRONG @ $312.69 (0.00%) | MAGNET/STRONG @ $312.50 (-0.06%) | VOLATILITY/STRONG @ $240.00 (-23.25%),possible,35,unlikely,20
2026-07-06,MSFT,VOLATILITY/STRONG @ $386.95 (0.00%) | VOLATILITY/STRONG @ $350.00 (-9.55%),unlikely,25,unlikely,20
2026-07-06,NVDA,VOLATILITY/STRONG @ $195.50 (0.00%) | SUPPORT/MODERATE @ $187.32 (-4.19%) | VOLATILITY/STRONG @ $180.00 (-7.93%),possible,35,unlikely,20
2026-07-06,GOOGL,VOLATILITY/STRONG @ $366.07 (0.00%) | MAGNET/STRONG @ $370.00 (+1.07%) | VOLATILITY/STRONG @ $320.00 (-12.59%),possible,40,not_shown,
2026-07-06,META,VOLATILITY/STRONG @ $599.78 (0.00%) | MAGNET/STRONG @ $600.00 (+0.04%) | VOLATILITY/STRONG @ $550.00 (-8.30%),possible,45,not_shown,
2026-07-06,AMZN,VOLATILITY/STRONG @ $244.41 (0.00%) | MAGNET/STRONG @ $245.00 (+0.24%) | VOLATILITY/STRONG @ $220.00 (-9.99%),possible,45,not_shown,
2026-07-06,TSLA,VOLATILITY/STRONG @ $419.31 (0.00%) | MAGNET/STRONG @ $420.00 (+0.16%) | VOLATILITY/STRONG @ $350.00 (-16.53%),possible,45,not_shown,
2026-07-07,AAPL,VOLATILITY/STRONG @ $310.64 (0.00%) | VOLATILITY/STRONG @ $240.00 (-22.74%),possible,30,unlikely,20
2026-07-07,MSFT,VOLATILITY/STRONG @ $389.44 (0.00%) | VOLATILITY/STRONG @ $350.00 (-10.13%),possible,35,unlikely,20
2026-07-07,NVDA,VOLATILITY/STRONG @ $195.74 (0.00%) | SUPPORT/MODERATE @ $188.30 (-3.80%) | VOLATILITY/STRONG @ $180.00 (-8.04%),possible,35,unlikely,20
2026-07-07,GOOGL,VOLATILITY/STRONG @ $366.32 (0.00%) | MAGNET/STRONG @ $370.00 (+1.00%) | VOLATILITY/STRONG @ $320.00 (-12.64%),possible,40,not_shown,
2026-07-07,META,VOLATILITY/STRONG @ $615.52 (0.00%) | VOLATILITY/STRONG @ $550.00 (-10.64%),unlikely,25,unlikely,20
2026-07-07,AMZN,VOLATILITY/STRONG @ $244.95 (0.00%) | VOLATILITY/STRONG @ $220.00 (-10.19%),possible,35,unlikely,20
2026-07-07,TSLA,VOLATILITY/STRONG @ $403.77 (0.00%) | VOLATILITY/STRONG @ $380.00 (-5.89%),possible,30,unlikely,20
2026-07-08,AAPL,VOLATILITY/STRONG @ $313.19 (0.00%) | VOLATILITY/STRONG @ $240.00 (-23.37%),possible,35,unlikely,20
2026-07-08,MSFT,VOLATILITY/STRONG @ $383.12 (0.00%) | VOLATILITY/STRONG @ $350.00 (-8.64%),unlikely,25,unlikely,20
2026-07-08,NVDA,VOLATILITY/STRONG @ $203.10 (0.00%) | MAGNET/STRONG @ $205.00 (+0.94%) | VOLATILITY/STRONG @ $180.00 (-11.37%),possible,45,not_shown,
2026-07-08,GOOGL,VOLATILITY/STRONG @ $361.14 (0.00%) | VOLATILITY/STRONG @ $320.00 (-11.39%),possible,35,unlikely,20
2026-07-08,META,VOLATILITY/STRONG @ $603.61 (0.00%) | VOLATILITY/STRONG @ $550.00 (-8.88%),unlikely,25,unlikely,20
2026-07-08,AMZN,VOLATILITY/STRONG @ $242.88 (0.00%) | VOLATILITY/STRONG @ $220.00 (-9.42%),possible,35,unlikely,20
2026-07-08,TSLA,VOLATILITY/STRONG @ $393.64 (0.00%) | MAGNET/STRONG @ $395.00 (+0.34%) | SUPPORT/MODERATE @ $380.25 (-3.40%),unlikely,25,unlikely,25
2026-07-09,AAPL,VOLATILITY/STRONG @ $315.71 (0.00%) | MAGNET/STRONG @ $320.00 (+1.36%) | VOLATILITY/STRONG @ $240.00 (-23.98%),possible,40,not_shown,
2026-07-09,MSFT,VOLATILITY/STRONG @ $383.92 (0.00%) | VOLATILITY/STRONG @ $350.00 (-8.84%),possible,30,unlikely,20
2026-07-09,NVDA,VOLATILITY/STRONG @ $202.75 (0.00%) | MAGNET/STRONG @ $205.00 (+1.11%) | VOLATILITY/STRONG @ $180.00 (-11.22%),possible,40,not_shown,
2026-07-09,GOOGL,VOLATILITY/STRONG @ $358.17 (0.00%) | VOLATILITY/STRONG @ $320.00 (-10.66%),possible,30,unlikely,20
2026-07-09,META,VOLATILITY/STRONG @ $628.76 (0.00%) | VOLATILITY/STRONG @ $550.00 (-12.53%),unlikely,25,unlikely,20
2026-07-09,AMZN,VOLATILITY/STRONG @ $246.69 (0.00%) | MAGNET/STRONG @ $250.00 (+1.34%) | VOLATILITY/STRONG @ $220.00 (-10.82%),possible,40,not_shown,
2026-07-09,TSLA,VOLATILITY/STRONG @ $405.26 (0.00%) | VOLATILITY/STRONG @ $380.00 (-6.23%),possible,30,unlikely,20
2026-07-10,AAPL,VOLATILITY/STRONG @ $315.11 (0.00%) | MAGNET/STRONG @ $320.00 (+1.55%) | VOLATILITY/STRONG @ $240.00 (-23.84%),possible,40,not_shown,
2026-07-10,MSFT,VOLATILITY/STRONG @ $385.24 (0.00%) | MAGNET/STRONG @ $385.00 (-0.06%) | VOLATILITY/STRONG @ $350.00 (-9.15%),unlikely,25,unlikely,20
2026-07-10,NVDA,VOLATILITY/STRONG @ $210.37 (0.00%) | MAGNET/STRONG @ $210.00 (-0.17%) | VOLATILITY/STRONG @ $180.00 (-14.43%),possible,30,unlikely,20
2026-07-10,GOOGL,VOLATILITY/STRONG @ $357.07 (0.00%) | MAGNET/STRONG @ $357.50 (+0.12%) | VOLATILITY/STRONG @ $320.00 (-10.38%),possible,45,not_shown,
2026-07-10,META,VOLATILITY/STRONG @ $667.73 (0.00%) | MAGNET/STRONG @ $670.00 (+0.34%) | VOLATILITY/STRONG @ $550.00 (-17.63%),possible,45,not_shown,
2026-07-10,AMZN,VOLATILITY/STRONG @ $245.67 (0.00%) | MAGNET/STRONG @ $245.00 (-0.27%) | VOLATILITY/STRONG @ $220.00 (-10.45%),possible,40,not_shown,
2026-07-10,TSLA,VOLATILITY/STRONG @ $407.37 (0.00%) | MAGNET/STRONG @ $407.50 (+0.03%) | VOLATILITY/STRONG @ $380.00 (-6.72%),possible,45,not_shown,
2026-07-13,AAPL,VOLATILITY/STRONG @ $317.35 (0.00%) | MAGNET/STRONG @ $317.50 (+0.05%) | VOLATILITY/STRONG @ $240.00 (-24.37%),possible,45,not_shown,
2026-07-13,MSFT,VOLATILITY/STRONG @ $390.04 (0.00%) | MAGNET/STRONG @ $390.00 (-0.01%) | VOLATILITY/STRONG @ $350.00 (-10.27%),possible,35,unlikely,20
2026-07-13,NVDA,VOLATILITY/STRONG @ $203.66 (0.00%) | VOLATILITY/STRONG @ $180.00 (-11.62%),possible,30,unlikely,20
2026-07-13,GOOGL,VOLATILITY/STRONG @ $352.52 (0.00%) | MAGNET/STRONG @ $352.50 (-0.01%) | VOLATILITY/STRONG @ $352.50 (-0.01%),,,possible,40
2026-07-13,META,VOLATILITY/STRONG @ $656.54 (0.00%) | VOLATILITY/STRONG @ $550.00 (-16.23%),unlikely,25,unlikely,20
2026-07-13,AMZN,VOLATILITY/STRONG @ $247.00 (0.00%) | MAGNET/STRONG @ $250.00 (+1.21%) | VOLATILITY/STRONG @ $220.00 (-10.93%),possible,40,not_shown,
2026-07-13,TSLA,VOLATILITY/STRONG @ $393.95 (0.00%) | SUPPORT/MODERATE @ $380.74 (-3.35%) | VOLATILITY/STRONG @ $380.00 (-3.54%),unlikely,25,unlikely,25
2026-07-14,AAPL,VOLATILITY/STRONG @ $314.90 (0.00%) | MAGNET/STRONG @ $320.00 (+1.62%) | VOLATILITY/STRONG @ $240.00 (-23.79%),possible,40,not_shown,
2026-07-14,MSFT,VOLATILITY/STRONG @ $385.43 (0.00%) | VOLATILITY/STRONG @ $350.00 (-9.19%),possible,30,unlikely,20
2026-07-14,NVDA,VOLATILITY/STRONG @ $211.53 (0.00%) | MAGNET/STRONG @ $215.00 (+1.64%) | VOLATILITY/STRONG @ $180.00 (-14.90%),possible,40,not_shown,
2026-07-14,GOOGL,VOLATILITY/STRONG @ $359.13 (0.00%) | SUPPORT/MODERATE @ $344.49 (-4.08%) | VOLATILITY/STRONG @ $340.00 (-5.33%),possible,30,unlikely,20
2026-07-14,META,VOLATILITY/STRONG @ $659.11 (0.00%) | VOLATILITY/STRONG @ $550.00 (-16.55%),unlikely,25,unlikely,20
2026-07-14,AMZN,VOLATILITY/STRONG @ $247.04 (0.00%) | MAGNET/STRONG @ $250.00 (+1.20%) | VOLATILITY/STRONG @ $220.00 (-10.95%),possible,40,not_shown,
2026-07-14,TSLA,VOLATILITY/STRONG @ $395.27 (0.00%) | SUPPORT/MODERATE @ $384.18 (-2.81%) | VOLATILITY/STRONG @ $380.00 (-3.86%),unlikely,25,unlikely,25
2026-07-15,AAPL,VOLATILITY/STRONG @ $327.46 (0.00%) | MAGNET/STRONG @ $325.00 (-0.75%) | VOLATILITY/STRONG @ $240.00 (-26.71%),possible,45,not_shown,
2026-07-15,MSFT,VOLATILITY/STRONG @ $396.25 (0.00%) | MAGNET/STRONG @ $395.00 (-0.31%) | VOLATILITY/STRONG @ $350.00 (-11.67%),possible,45,not_shown,
2026-07-15,NVDA,VOLATILITY/STRONG @ $211.82 (0.00%) | MAGNET/STRONG @ $212.50 (+0.32%) | VOLATILITY/STRONG @ $170.00 (-19.74%),possible,45,not_shown,
